,0,1,2
0,730,Counter-Strike: Global Offensive,"[{""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Competitive"", ""tagid"": 3878}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""eSports"", ""tagid"": 5055}, {""name"": ""Tactical"", ""tagid"": 1708}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""PvP"", ""tagid"": 1775}]"
1,271590,Grand Theft Auto V,"[{""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Automobile Sim"", ""tagid"": 1100687}, {""name"": ""Crime"", ""tagid"": 6378}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Mature"", ""tagid"": 5611}]"
2,289070,Sid Meier’s Civilization® VI,"[{""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""Turn-Based Strategy"", ""tagid"": 1741}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Historical"", ""tagid"": 3987}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Turn-Based"", ""tagid"": 1677}, {""name"": ""Grand Strategy"", ""tagid"": 4364}, {""name"": ""4X"", ""tagid"": 1670}, {""name"": ""War"", ""tagid"": 1678}, {""name"": ""Simulation"", ""tagid"": 599}]"
3,230410,Warframe,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""Action RPG"", ""tagid"": 4231}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Third-Person Shooter"", ""tagid"": 3814}, {""name"": ""Looter Shooter"", ""tagid"": 353880}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Lore-Rich"", ""tagid"": 3854}, {""name"": ""Online Co-Op"", ""tagid"": 3843}]"
4,578080,PUBG: BATTLEGROUNDS,"[{""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Battle Royale"", ""tagid"": 176981}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""PvP"", ""tagid"": 1775}, {""name"": ""Third-Person Shooter"", ""tagid"": 3814}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Tactical"", ""tagid"": 1708}]"
5,814380,Sekiro™: Shadows Die Twice - GOTY Edition,"[{""name"": ""Souls-like"", ""tagid"": 29482}, {""name"": ""Difficult"", ""tagid"": 4026}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Ninja"", ""tagid"": 1688}, {""name"": ""Stealth"", ""tagid"": 1687}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Story Rich"", ""tagid"": 1742}]"
6,582010,Monster Hunter: World,"[{""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Singleplayer"", ""tagid"": 4182}]"
7,1085660,Destiny 2,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Looter Shooter"", ""tagid"": 353880}, {""name"": ""PvP"", ""tagid"": 1775}, {""name"": ""PvE"", ""tagid"": 6730}, {""name"": ""MMORPG"", ""tagid"": 1754}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""First-Person"", ""tagid"": 3839}]"
8,359550,Tom Clancy's Rainbow Six® Siege,"[{""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Hero Shooter"", ""tagid"": 620519}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Tactical"", ""tagid"": 1708}, {""name"": ""Shooter"", ""tagid"": 1774}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Competitive"", ""tagid"": 3878}, {""name"": ""Co-op"", ""tagid"": 1685}]"
9,570,Dota 2,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""MOBA"", ""tagid"": 1718}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Strategy"", ""tagid"": 9}, {""name"": ""eSports"", ""tagid"": 5055}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Competitive"", ""tagid"": 3878}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""PvP"", ""tagid"": 1775}]"
